SAMPLE ID2;Sample No;Location Name;Municipality;County;General Peatland Type;Specific Peatland Type;Generell myrtype;Naturtype;Detaljert Naturtype;NiN kode;Condition;Condition_notes;Notes_misc;ETRS89_UTM32_E;ETRS89_UTM32_N;Depth (cm);Depth_grouped (cm);BD (t/m3);moisture content (%);% SOM;% Ash content;SOM to SOC (conversion 0.5);C density (kg/m3);% Carbon;% Nitrogen;C:N ratio;Data collection date;Data contributors;Lab analysis
Klæbu0037;1;V for Dyrbekken;Trondheim;Trøndelag;fen;rich fen;jordvannsmyr;rikmyr;rikmyr;V1-C-4;intact;;;578419.32;7019291.61;20-50;0-50;0.058;86.14;97.71;2.29;48.85;28.333;50.03;2.66;19;07.10.2020;NINA GRAN;NINA GRAN
Klæbu0037;2;V for Dyrbekken;Trondheim;Trøndelag;fen;rich fen;jordvannsmyr;rikmyr;rikmyr;V1-C-4;intact;;;578419.32;7019291.61;100-130;100-150;0.052;87.1;97.74;2.26;48.87;25.4124;49.26;2.43;20;07.10.2020;NINA GRAN;NINA GRAN
Klæbu0037;3;V for Dyrbekken;Trondheim;Trøndelag;fen;rich fen;jordvannsmyr;rikmyr;rikmyr;V1-C-4;intact;;;578419.32;7019291.61;200-230;200-250;0.042;90.05;98.58;1.42;49.29;20.7018;52.77;1.74;30;07.10.2020;NINA GRAN;NINA GRAN
Klæbu0038;1;V for Dyrbekken;Trondheim;Trøndelag;fen;intermediate fen;jordvannsmyr;intermediær myr;intermediær;V1-C-2;intact;;;578457.45;7019313.83;20-50;0-50;0.067;92.42;99.69;0.31;49.85;33.3995;52.61;1.53;34;07.10.2020;NINA GRAN;NINA GRAN
Klæbu0038;2;V for Dyrbekken;Trondheim;Trøndelag;fen;intermediate fen;jordvannsmyr;intermediær myr;intermediær;V1-C-2;intact;;;578457.45;7019313.83;100-130;100-150;0.07;91.33;99.43;0.57;49.72;34.804;51.7;2.68;19;07.10.2020;NINA GRAN;NINA GRAN
KM1;1;Kinn Marøy;Kinn;Vestland;bog;oceanic bog;nedbørsmyr;oseanisk nedbørsmyr;oseanisk nedbørsmyr;V3-C-1;intact;;;292719.69;6825556.48;20-30;0-50;;87.9;;;;0;;;;18.08.2021;NTNU Vitenskapsmuseet;NTNU Vitenskapsmuseet
KM1;2;Kinn Marøy;Kinn;Vestland;bog;oceanic bog;nedbørsmyr;oseanisk nedbørsmyr;oseanisk nedbørsmyr;V3-C-1;intact;;;292719.69;6825556.48;30-40;0-50;0.13;90.38;96.49;3.51;48.25;62.725;;;;18.08.2021;NTNU Vitenskapsmuseet;NTNU Vitenskapsmuseet
KM1;3;Kinn Marøy;Kinn;Vestland;bog;oceanic bog;nedbørsmyr;oseanisk nedbørsmyr;oseanisk nedbørsmyr;V3-C-1;intact;;;292719.69;6825556.48;70-80;50-100;;89.2;;;;0;;;;18.08.2021;NTNU Vitenskapsmuseet;NTNU Vitenskapsmuseet
KM1;4;Kinn Marøy;Kinn;Vestland;bog;oceanic bog;nedbørsmyr;oseanisk nedbørsmyr;oseanisk nedbørsmyr;V3-C-1;intact;;;292719.69;6825556.48;80-90;50-100;0.1;92.45;93.44;6.56;46.72;46.72;;;;18.08.2021;NTNU Vitenskapsmuseet;NTNU Vitenskapsmuseet
KM2;1;Kinn Marøy;Kinn;Vestland;bog;oceanic bog;nedbørsmyr;oseanisk nedbørsmyr;oseanisk nedbørsmyr;V3-C-1;intact;;;292768.39;6825534.14;20-30;0-50;;88.2;;;;0;;;;18.08.2021;NTNU Vitenskapsmuseet;NTNU Vitenskapsmuseet
